,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__max_depth,param_model__min_samples_leaf,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.00636744499206543,0.0005405830749753502,0.002004051208496094,7.401889004490759e-06,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,500,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 500, 'scaler': MinMaxScaler()}",-7531729.446930898,-7557092.149116922,-7860091.996731886,-7716678.485831345,-7518377.177763962,-7636793.851275003,132406.20495670201,37
44,0.006703424453735352,0.0003583488000710882,0.0020142555236816405,3.527550929495849e-05,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,200,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 200, 'scaler': StandardScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
45,0.006319522857666016,0.0004141781040715476,0.0020860671997070313,0.0006509522970272596,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,200,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 200, 'scaler': MinMaxScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
46,0.009802436828613282,0.001938715118977638,0.0028778076171875,0.0007838436916501853,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,100,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 100, 'scaler': StandardScaler()}",-7294231.091319131,-7444136.275154215,-7601392.986360928,-7354125.1891737,-7445877.470192039,-7427952.602440002,103919.88106914828,11
47,0.007868623733520508,0.001437907811905814,0.002000761032104492,0.0006326371185042373,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,100,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 100, 'scaler': MinMaxScaler()}",-7294231.091319131,-7444136.275154215,-7607927.59050553,-7354125.1891737,-7445877.470192039,-7429259.523268923,106110.88327915572,15
48,0.00729837417602539,0.0003691939095791779,0.002002429962158203,2.600402489554592e-06,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,50,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 50, 'scaler': StandardScaler()}",-7139036.03534168,-7212447.665539753,-7417493.144760873,-7102605.910559223,-7204768.895523906,-7215270.330345087,109102.93622125863,1
49,0.007049560546875,6.525582277317084e-05,0.0016013145446777343,0.0004902520630345398,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,50,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 50, 'scaler': MinMaxScaler()}",-7139036.03534168,-7212447.665539753,-7431626.011129015,-7102605.910559223,-7204768.895523906,-7218096.903618714,114361.72420471782,4
50,0.00630335807800293,0.0006693279368150268,0.002039194107055664,0.0007315107386677677,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,1000,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 1000, 'scaler': StandardScaler()}",-7672791.294726636,-7673133.169681201,-7991382.412147846,-7897321.681707243,-7719531.438810032,-7790831.999414591,129946.84521652071,49
51,0.006001901626586914,0.0010926264310624231,0.002011013031005859,0.0006261603878430122,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,1000,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 1000, 'scaler': MinMaxScaler()}",-7672791.294726636,-7673133.169681201,-7991382.412147846,-7897321.681707243,-7719531.438810032,-7790831.999414591,129946.84521652071,49
52,0.006321620941162109,0.0004373515062817293,0.0018053531646728515,0.00039547088165110936,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,500,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 500, 'scaler': StandardScaler()}",-7531729.446930898,-7557092.149116922,-7860091.996731886,-7716678.485831345,-7518377.177763962,-7636793.851275003,132406.20495670201,37
53,0.0063304901123046875,0.0004242097835506734,0.0016135692596435547,0.0004789158668305942,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,500,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 500, 'scaler': MinMaxScaler()}",-7531729.446930898,-7557092.149116922,-7860091.996731886,-7716678.485831345,-7518377.177763962,-7636793.851275003,132406.20495670201,37
54,0.006469058990478516,0.0004548043318733015,0.0013993263244628906,0.0004914061615148715,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,200,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 200, 'scaler': StandardScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
55,0.006867647171020508,0.0005318580187270752,0.0020055294036865233,0.0006302260843116135,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,200,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 200, 'scaler': MinMaxScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
56,0.007047176361083984,6.969738079014828e-05,0.0018054008483886718,0.00039857518838590456,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,100,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 100, 'scaler': StandardScaler()}",-7294231.091319131,-7444136.275154215,-7601392.986360928,-7354125.1891737,-7445877.470192039,-7427952.602440002,103919.88106914828,11
57,0.006248044967651367,0.0003909229968686372,0.0020416736602783202,7.028207678504867e-05,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,100,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 100, 'scaler': MinMaxScaler()}",-7294231.091319131,-7444136.275154215,-7607927.59050553,-7354125.1891737,-7445877.470192039,-7429259.523268923,106110.88327915572,15
58,0.00721273422241211,0.0004266116208105163,0.0020268440246582033,4.3094420333318144e-05,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,50,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 50, 'scaler': StandardScaler()}",-7139036.03534168,-7212447.665539753,-7417493.144760873,-7102605.910559223,-7204768.895523906,-7215270.330345087,109102.93622125863,1
59,0.007205343246459961,0.0003943634605149375,0.0020015716552734377,6.2380069585849875e-06,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",,50,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': None, 'model__min_samples_leaf': 50, 'scaler': MinMaxScaler()}",-7139036.03534168,-7212447.665539753,-7431626.011129015,-7102605.910559223,-7204768.895523906,-7218096.903618714,114361.72420471782,4
